text,label
"Hôm nay tôi đi làm muộn.","Negative"
"Tôi vừa hoàn thành dự án!","Positive"
"Cuộc họp hôm nay khá hiệu quả.","Positive"
"Tôi cảm thấy hơi mệt mỏi với deadline.","Negative"
"Bài giảng hôm nay dễ hiểu.","Positive"
"Sếp vừa giao thêm việc mới.","Neutral"
"Tôi không hiểu sao code chạy lỗi hoài.","Negative"
"Tôi được đồng nghiệp giúp đỡ nhiệt tình.","Positive"
"Buổi học nhóm diễn ra đúng kế hoạch.","Neutral"
"Tôi nhận được email phản hồi tích cực từ khách hàng.","Positive"
"Áp lực công việc dạo này hơi lớn.","Negative"
"Chỉ tiêu tháng này đã đạt được.","Positive"
"Trời mưa nên tôi hơi ngại đi học.","Negative"
"Tài liệu tham khảo khá đầy đủ.","Neutral"
"Tôi tìm ra lỗi sai trong báo cáo.","Neutral"
"Tôi thuyết trình thành công ngoài mong đợi.","Positive"
"Máy tính lại bị treo, tôi mất hết dữ liệu chưa lưu.","Negative"
"Tôi học được một kỹ năng mới rất hữu ích.","Positive"
"Lịch thi đã được công bố.","Neutral"
"Tôi chán nản vì công việc lặp đi lặp lại.","Negative"
"Không khí làm việc trong team rất tốt.","Positive"
"Điểm kiểm tra giữa kỳ của tôi không cao lắm.","Negative"
"Tôi đang chuẩn bị cho buổi phỏng vấn chiều nay.","Neutral"
"Tôi vui vì được tăng lương.","Positive"
"Tôi trễ giờ nộp bài tập lớn.","Negative"
"Tôi đang đọc quy trình làm việc mới.","Neutral"
"Tôi giải quyết xong vấn đề khó khăn của khách hàng.","Positive"
"Tôi cảm thấy lạc lõng trong môi trường mới.","Negative"
"Tôi tham gia seminar thấy cũng bình thường.","Neutral"
"Tôi mong chờ kỳ nghỉ lễ sắp tới.","Positive"
"Lại một ngày làm việc bình thường.","Neutral"
"Tôi bị sếp phê bình vì sai sót.","Negative"
"Ý tưởng mới được mọi người đón nhận.","Positive"
"Tôi đang phân vân không biết nên chọn khóa học nào.","Neutral"
"Tôi hoàn thành khóa học online đúng hạn.","Positive"
"Tôi mất tập trung khi học bài.","Negative"
"Tôi gửi email xin nghỉ phép.","Neutral"
"Dự án mới có vẻ thú vị.","Positive"
"Tôi quên mất lịch họp sáng nay.","Negative"
"Tôi đọc email thông báo nội bộ.","Neutral"
"Tôi hài lòng với kết quả bài thi cuối kỳ.","Positive"
"Công việc hiện tại không có gì tiến triển.","Negative"
"Tôi sắp xếp lại bàn làm việc cho gọn gàng.","Neutral"
"Tôi được cử đi đào tạo chuyên môn.","Positive"
"Tôi cảm thấy quá tải với bài tập về nhà.","Negative"
"Tôi đang cập nhật hồ sơ cá nhân trên hệ thống công ty.","Neutral"
"Tôi rất vui khi nhận được offer công việc mới.","Positive"
"Mạng công ty chậm quá, làm việc không hiệu quả.","Negative"
"Tôi đã nộp báo cáo thực tập.","Neutral"
"Tôi tự hào về thành tích học tập của mình.","Positive"
"Tôi hoàn thành xuất sắc bài thuyết trình quan trọng.","Positive"
"Tôi cảm thấy kiệt sức sau một ngày dài làm việc.","Negative"
"Tôi đang xem lại ghi chú buổi học trước.","Neutral"
"Tôi nhận được lời khen từ giáo viên hướng dẫn.","Positive"
"Tôi gặp khó khăn khi giải bài tập này.","Negative"
"Lịch làm việc tuần này khá dày đặc.","Neutral"
"Team vừa đạt được mục tiêu quý.","Positive"
"Tôi không hài lòng với chất lượng buổi họp online.","Negative"
"Tôi đang chuẩn bị tài liệu cho cuộc họp chiều mai.","Neutral"
"Tôi tìm được nguồn tài liệu tham khảo rất hay.","Positive"
